x,y,z,collapse_count,last_collapsed_at
0,8,21,0,
0,8,22,1,45.293691193072284
0,8,23,0,
0,8,24,1,11.898868131590326
0,8,25,1,35.9146264159457
0,8,26,0,
0,8,27,2,67.12074122164454
0,8,28,1,2.4620827971913393
0,8,29,1,24.537526592600152
0,8,30,0,
0,8,31,1,64.85852211967664
0,8,32,2,39.688783091236054
0,8,33,1,3.4620280969062445
0,8,34,1,6.774451353264973
0,8,35,0,
0,8,36,1,33.69804788669606
0,8,37,0,
0,8,38,0,
0,8,39,0,
0,8,40,0,
0,8,41,1,38.81297649765153
0,8,42,0,
0,8,43,1,45.80084765881862
0,8,44,1,69.95454182378691
0,8,45,1,57.70658037049139
0,8,46,2,56.435609424567495
0,8,47,0,
0,8,48,1,41.17783917804142
0,8,49,0,
0,9,0,0,
0,9,1,0,
0,9,2,0,
0,9,3,0,
0,9,4,2,54.460623222079086
0,9,5,0,
0,9,6,1,1.341963311349342
0,9,7,2,79.60273821817877
0,9,8,0,
0,9,9,1,72.74176567112883
0,9,10,1,37.89099209085037
0,9,11,1,54.92735741866432
0,9,12,3,54.28264394796536
0,9,13,1,12.690737227149917
0,9,14,1,73.66493296767197
0,9,15,2,59.57262132693698
0,9,16,1,59.2507478845484
0,9,17,1,87.02306568150648
0,9,18,3,61.410229487327165
0,9,19,0,
0,9,20,1,15.459299445604305
0,9,21,0,
0,9,22,0,
0,9,23,3,68.57184026571866
0,9,24,0,
0,9,25,0,
0,9,26,1,11.90353891655061
0,9,27,0,
0,9,28,2,45.3486304306407
0,9,29,0,
0,9,30,0,
0,9,31,0,
0,9,32,1,74.43225686463963
0,9,33,0,
0,9,34,1,5.062194270187718
0,9,35,1,80.306303082266
0,9,36,0,
0,9,37,0,
0,9,38,1,63.930758192172654
0,9,39,1,31.779839661274675
0,9,40,0,
0,9,41,1,57.73503843348529
0,9,42,3,48.91117530517234
0,9,43,0,
0,9,44,0,
0,9,45,0,
0,9,46,0,
0,9,47,0,
0,9,48,2,46.616531372080686
0,9,49,0,
0,10,0,2,36.02372207791556
0,10,1,0,
0,10,2,0,
0,10,3,0,
0,10,4,2,27.402710096779785
0,10,5,2,74.13747903267048
0,10,6,1,90.28799934276469
0,10,7,0,
0,10,8,2,47.52593623368061
0,10,9,2,63.985806849931535
0,10,10,0,
0,10,11,2,36.82510896054564
0,10,12,1,30.01316917358237
0,10,13,0,
0,10,14,0,
0,10,15,1,38.9635895299089
0,10,16,0,
0,10,17,1,46.474547724682665
0,10,18,0,
0,10,19,2,47.92608800467697
0,10,20,1,17.022466995046834
0,10,21,2,50.20187923878279
0,10,22,1,23.166662841880083
0,10,23,1,45.36319160175835
0,10,24,0,
0,10,25,0,
0,10,26,0,
0,10,27,0,
0,10,28,0,
0,10,29,0,
0,10,30,0,
0,10,31,1,54.59880730740242
0,10,32,1,35.959409358405914
0,10,33,2,18.360783279049727
0,10,34,0,
0,10,35,1,17.70988744109532
0,10,36,0,
0,10,37,0,
0,10,38,0,
0,10,39,1,53.214385127257344
0,10,40,1,66.8624088906359
0,10,41,0,
0,10,42,1,71.77386288351765
0,10,43,3,9.703757826008552
0,10,44,1,62.13367696706387
0,10,45,1,49.36371577715015
0,10,46,1,37.99178826784397
0,10,47,1,55.251867801714006
0,10,48,0,
0,10,49,1,10.380607971247223
0,11,0,1,14.815228013116332
0,11,1,0,
0,11,2,1,50.50210636764768
0,11,3,1,11.6136207027328
0,11,4,2,25.692330734548435
0,11,5,0,
0,11,6,0,
0,11,7,0,
0,11,8,0,
0,11,9,0,
0,11,10,1,93.95293809972303
0,11,11,1,45.50234250507742
0,11,12,1,29.99858046834326
0,11,13,0,
0,11,14,0,
0,11,15,1,19.53765241962342
0,11,16,0,
0,11,17,0,
0,11,18,0,
0,11,19,1,61.53572720288218
0,11,20,0,
0,11,21,0,
0,11,22,2,60.006562424373406
0,11,23,1,70.87767829317927
0,11,24,0,
0,11,25,0,
0,11,26,0,
0,11,27,0,
0,11,28,0,
0,11,29,1,54.601215082327506
0,11,30,2,61.87472706670142
0,11,31,2,68.09223113390648
0,11,32,1,60.82661091506661
0,11,33,0,
0,11,34,1,81.98975000432473
0,11,35,0,
0,11,36,2,67.09781226256626
0,11,37,1,41.59275379175756
0,11,38,2,18.358984323226494
0,11,39,0,
0,11,40,0,
0,11,41,1,61.39043732016076
0,11,42,1,75.81707166698611
0,11,43,1,76.62977959552438
0,11,44,3,39.17550419616603
0,11,45,1,0.44394311077645787
0,11,46,0,
0,11,47,0,
0,11,48,0,
0,11,49,2,70.04717108726689
0,12,0,3,54.26090448733287
0,12,1,0,
0,12,2,1,21.875301515408314
0,12,3,1,58.51574481655051
0,12,4,0,
