x,y,z,collapse_count,last_collapsed_at
0,7,21,1,13.265722044921262
0,7,22,0,
0,7,23,0,
0,7,24,1,20.721898627542753
0,7,25,3,100.0
0,7,26,0,
0,7,27,2,53.81004974749536
0,7,28,0,
0,7,29,2,100.0
0,7,30,4,48.50015593092177
0,7,31,3,84.0
0,7,32,2,68.34942374257888
0,7,33,3,85.0
0,7,34,0,
0,7,35,2,42.00283677068796
0,7,36,2,78.00554715227413
0,7,37,3,82.0
0,7,38,1,2.0
0,7,39,2,30.0
0,7,40,0,
0,7,41,1,11.690569029408385
0,7,42,0,
0,7,43,5,45.635279142690685
0,7,44,1,92.0
0,7,45,2,36.0
0,7,46,2,33.0
0,7,47,1,43.0
0,7,48,2,65.25792281710999
0,7,49,3,80.5262705500207
0,8,0,3,47.528282798490814
0,8,1,1,74.0
0,8,2,1,85.0
0,8,3,2,40.0
0,8,4,2,31.98850702906323
0,8,5,1,80.0
0,8,6,2,65.35581830213381
0,8,7,1,41.08459083020909
0,8,8,3,67.0
0,8,9,2,44.490473051989056
0,8,10,5,49.359113218209345
0,8,11,1,8.997263202831038
0,8,12,0,
0,8,13,0,
0,8,14,4,89.0
0,8,15,2,65.0
0,8,16,3,82.76079151755974
0,8,17,4,53.297313668656194
0,8,18,0,
0,8,19,2,66.0
0,8,20,1,46.37159323976345
0,8,21,2,73.60303495167597
0,8,22,0,
0,8,23,2,82.33477456616873
0,8,24,1,67.0
0,8,25,5,93.0
0,8,26,2,66.40609450285018
0,8,27,1,47.0
0,8,28,1,61.0
0,8,29,2,60.0
0,8,30,3,49.640260036186056
0,8,31,0,
0,8,32,3,73.0
0,8,33,2,17.023826624133193
0,8,34,1,12.0
0,8,35,3,84.0
0,8,36,1,100.0
0,8,37,2,36.90197342276111
0,8,38,1,11.485951296217543
0,8,39,1,39.81496576906002
0,8,40,3,95.0
0,8,41,1,51.0
0,8,42,3,79.0
0,8,43,1,70.21622364469516
0,8,44,2,72.77234897347066
0,8,45,0,
0,8,46,1,54.0
0,8,47,3,56.790578750829866
0,8,48,0,
0,8,49,6,57.44429707260141
0,9,0,1,20.463502871525254
0,9,1,2,16.953266785813383
0,9,2,2,25.964919518243295
0,9,3,2,46.98310169348943
0,9,4,3,88.04456599039747
0,9,5,3,56.00506056205199
0,9,6,0,
0,9,7,3,86.43360636365223
0,9,8,4,52.794871637148525
0,9,9,1,6.980175708737247
0,9,10,2,71.0
0,9,11,2,16.624585468489663
0,9,12,3,64.0
0,9,13,4,64.08655426732759
0,9,14,2,49.102811982671504
0,9,15,1,60.92905098746025
0,9,16,0,
0,9,17,2,24.735503131425922
0,9,18,1,40.72060262416282
0,9,19,3,20.22093696362439
0,9,20,2,87.89861152111216
0,9,21,4,85.0
0,9,22,2,92.0
0,9,23,2,72.77055595845833
0,9,24,0,
0,9,25,2,80.65283713604428
0,9,26,2,40.30908068081492
0,9,27,2,56.37515167535752
